;Europe:France;Europe:Germany;Europe:Italy;Europe:UK;Europe:others;Japan;Russia;USA;others
17/02/2019;1;0;0;0;0;2;0;1;0
18/02/2019;2;3;2;1;2;4;0;8;5
19/02/2019;2;3;2;4;2;5;0;10;7
20/02/2019;2;3;2;5;6;5;0;12;7
21/02/2019;3;5;2;7;9;14;4;18;10
22/02/2019;3;5;2;7;11;17;4;20;10
23/02/2019;3;5;2;7;11;17;4;21;10
24/02/2019;3;5;2;7;11;17;5;21;10
25/02/2019;3;9;2;8;11;18;7;21;10
26/02/2019;3;9;2;8;11;18;67;21;10
27/02/2019;31;9;2;9;16;30;83;21;16
28/02/2019;66;11;3;9;21;33;89;27;43
01/03/2019;78;12;3;9;21;35;90;27;46
02/03/2019;80;12;3;9;21;35;91;27;46
04/03/2019;100;12;3;9;22;35;91;27;48
05/03/2019;104;12;3;9;22;35;91;27;48
06/03/2019;105;12;3;9;22;35;91;28;48
07/03/2019;106;12;3;9;22;35;91;29;49
08/03/2019;108;12;3;9;22;35;91;30;49
09/03/2019;108;12;3;9;22;35;91;32;49
13/03/2019;109;12;3;9;22;35;91;32;49
14/03/2019;109;12;3;9;22;35;92;32;49
15/03/2019;110;13;3;9;22;35;92;32;49
18/03/2019;110;15;3;9;22;45;93;33;50
19/03/2019;110;15;3;9;22;48;93;34;51
20/03/2019;110;15;3;9;22;49;93;34;54
21/03/2019;110;15;3;9;22;49;93;34;56
22/03/2019;110;15;3;9;22;49;93;35;56
25/03/2019;110;15;3;9;22;50;93;35;56
27/03/2019;110;15;3;9;24;50;93;35;56
28/03/2019;110;16;3;9;24;51;93;36;56
01/04/2019;118;79;14;26;46;51;93;38;59
02/04/2019;121;113;18;46;70;51;94;50;62
03/04/2019;123;126;18;49;72;51;94;50;62
04/04/2019;123;128;18;51;74;51;94;50;62
05/04/2019;125;134;21;52;86;51;94;51;63
06/04/2019;125;135;22;52;87;51;94;52;63
07/04/2019;125;135;22;54;90;51;94;52;63
08/04/2019;125;147;50;61;116;51;94;54;63
09/04/2019;125;150;54;62;131;51;94;55;65
10/04/2019;125;151;54;62;132;51;94;55;65
11/04/2019;125;152;54;62;132;51;94;55;66
12/04/2019;125;154;54;62;135;51;94;55;67
13/04/2019;125;155;54;62;136;51;94;55;67
14/04/2019;125;155;54;62;138;51;94;55;67
15/04/2019;125;156;57;62;141;51;94;55;67
16/04/2019;125;157;57;62;142;51;94;55;67
17/04/2019;125;157;57;62;143;51;94;55;67
23/04/2019;125;158;57;62;143;51;94;55;67
27/04/2019;125;159;57;62;143;51;94;55;67
03/05/2019;125;159;57;62;143;51;94;57;67
10/05/2019;125;159;57;62;143;51;94;57;68
11/05/2019;125;159;57;62;143;51;94;57;70
12/05/2019;125;159;57;62;143;51;94;57;71
20/05/2019;125;159;57;62;143;51;94;57;72
06/06/2019;125;159;57;63;143;51;94;57;72
14/06/2019;125;159;57;63;143;57;94;57;72
16/06/2019;125;159;57;63;143;58;94;57;72
24/06/2019;125;159;57;63;143;59;94;57;72
26/07/2019;125;159;57;63;143;62;94;57;73
31/07/2019;125;159;57;63;143;63;94;57;73
06/08/2019;125;159;57;63;144;63;94;58;73
07/08/2019;125;159;57;63;144;63;94;58;74
10/09/2019;125;159;57;64;144;63;94;58;74
20/11/2019;125;159;57;64;144;63;94;58;75
02/12/2019;125;159;57;64;144;63;94;58;76
11/12/2019;125;159;57;65;144;63;94;58;76
20/12/2019;125;159;57;66;144;63;94;58;76
28/12/2019;125;159;57;66;144;64;94;58;76
23/01/2020;125;159;57;66;144;64;94;58;80
24/01/2020;125;159;57;66;144;64;94;58;83
22/06/2020;125;159;57;67;144;64;94;58;83